地區,土地面積(平方公里),戶籍登記戶數(戶),戶籍登記人口數(人),0-14歲人口數(人),15-64歲人口數(人),65歲以上人口數(人),幼年人口比率(0-14歲)(％),青壯年人口比率(15-64歲)(％),老年人口比率(65歲以上)(％),扶養比(),老化指數(),男性人口(人),女性人口(人),性比例(女=100),出生登記數(人),死亡登記數(人),粗出生率(‰),粗死亡率(‰),自然增加率(‰),遷入人口數(人),遷出人口數(人),社會增加率(‰),人口總增加率(‰),人口密度(人/平方公里),一般生育率(‰),結婚登記對數(對),離婚登記對數(對),相同性別結婚登記對數(對),粗結婚率(‰),粗離婚率(‰),勞動力人口數(千人),失業率(％),就業人口數(千人),就業者之行業結構-工業(％),就業者之行業結構-服務業(％),就業者之行業結構-農林漁牧業(％),就業者之教育程度結構-大專及以上(％),就業者之教育程度結構-高中(職)(％),就業者之教育程度結構-國中及以下(％),總工時(小時),公教人員人數(人),刑案發生數(件),刑案破獲數(件),嫌疑犯人數(人),刑案發生率(件/十萬人),刑案破獲率(％),犯罪人口率(人/十萬人),少年犯罪人口率(人/十萬人),青年犯罪人口率(人/十萬人),成年犯罪人口率(人/十萬人),道路交通事故肇事總件數(件),鄉鎮市區數(個),低收入戶人口數(人),森林面積(公頃),森林地占土地面積比率(％),電力用戶數(戶),電力售電量(百萬度),電力用戶平均每戶售電量(萬度/戶)
臺灣地區,36013.73,9042821.0,23109362.0,2805896.0,16242847.0,4060619.0,12.14,70.29,17.57,42.27,144.72,11421000.0,11688362.0,97.71,138027.0,206251.0,5.96,8.9,-2.95,1077811.0,1120355.0,-1.84,-4.78,641.68,25.0,124313.0,50386.0,2462.0,5.37,2.18,11853.0,3.7,11418.0,35.4,59.96,4.64,55.37,31.08,13.56,8087801033.0,312316.0,264287.0,255585.0,290105.0,1140.9,96.71,1252.36,799.75,2173.93,1360.45,374787.0,358.0,288211.0,2189243.0,60.79,329681.0,168417.0,51.49
新北市,2052.57,1638908.0,3995551.0,460811.0,2853380.0,681360.0,11.53,71.41,17.05,40.03,147.86,1946890.0,2048661.0,95.03,21557.0,30533.0,5.39,7.63,-2.24,195929.0,199515.0,-0.9,-3.14,1946.61,22.0,21501.0,8798.0,410.0,5.37,2.2,2043.0,3.7,1967.0,32.07,67.47,0.46,59.3,30.41,10.28,1293343325.0,42974.0,35311.0,34228.0,28714.0,882.37,96.87,717.52,520.81,1213.37,773.97,45727.0,29.0,35091.0,155483.0,75.75,37713.0,10279.0,27.47
臺北市,271.8,1050981.0,2480681.0,312209.0,1649878.0,518594.0,12.59,66.51,20.91,50.36,166.1,1177022.0,1303659.0,90.29,14528.0,20783.0,5.81,8.3,-2.5,153880.0,191337.0,-14.97,-17.47,9126.87,25.0,13209.0,4530.0,297.0,5.28,1.81,1212.0,3.7,1168.0,19.1,80.7,0.21,83.58,13.64,2.78,2178564926.0,43962.0,36210.0,36673.0,41871.0,1446.93,101.17,1673.14,933.48,3683.63,1796.17,25141.0,12.0,44476.0,11491.0,42.28,23517.0,8305.0,35.36
桃園市,1220.95,878466.0,2281464.0,319714.0,1636005.0,325745.0,14.01,71.71,14.28,39.45,101.89,1126870.0,1154594.0,97.6,18205.0,15791.0,8.0,6.94,1.06,119595.0,112936.0,2.92,3.98,1868.59,31.0,13314.0,5691.0,293.0,5.85,2.5,1185.0,3.7,1141.0,43.12,55.85,1.03,54.05,36.26,9.69,1106176215.0,28565.0,23425.0,22847.0,24465.0,1028.8,97.49,1074.47,645.45,1711.58,1209.12,49110.0,13.0,28305.0,47134.0,38.6,18468.0,23308.0,128.04
臺中市,2214.9,1033821.0,2814459.0,379633.0,2010536.0,424290.0,13.49,71.44,15.08,39.99,111.76,1378315.0,1436144.0,95.97,17880.0,20750.0,6.35,7.37,-1.02,140357.0,136518.0,1.36,0.34,1270.7,25.0,16597.0,6456.0,323.0,5.9,2.29,1465.0,3.7,1411.0,38.05,59.34,2.6,58.74,31.97,9.29,768634394.0,36657.0,22293.0,22172.0,28995.0,792.22,99.39,1030.39,724.36,2004.07,1110.22,44618.0,29.0,44247.0,113963.0,51.45,30653.0,25305.0,83.44
臺南市,2191.65,716543.0,1852997.0,213467.0,1305385.0,334145.0,11.52,70.45,18.03,41.95,156.53,921168.0,931829.0,98.86,8914.0,17908.0,4.8,9.64,-4.84,76076.0,76144.0,-0.04,-4.88,845.48,21.0,9665.0,3848.0,181.0,5.2,2.07,989.0,3.6,953.0,43.64,49.59,6.77,47.71,31.24,21.05,520591063.0,22308.0,25683.0,25070.0,29337.0,1382.64,97.59,1579.36,713.88,2993.66,1704.47,44685.0,37.0,15214.0,54148.0,24.71,30855.0,26758.0,87.2
高雄市,2951.85,1136785.0,2728137.0,309049.0,1919113.0,499975.0,11.33,70.35,18.33,42.16,161.78,1341492.0,1386645.0,96.74,16133.0,25462.0,5.9,9.3,-3.41,124348.0,131573.0,-2.64,-6.05,924.21,25.0,14814.0,5983.0,328.0,5.41,2.19,1398.0,3.6,1347.0,36.4,60.49,3.11,54.72,35.14,10.14,727344650.0,37568.0,23435.0,23067.0,26544.0,856.41,98.39,970.03,699.23,1761.76,1033.88,38080.0,38.0,29344.0,170523.0,57.77,34956.0,24614.0,71.03
宜蘭縣,2143.63,176074.0,449062.0,51141.0,314394.0,83527.0,11.39,70.01,18.6,42.83,163.33,225711.0,223351.0,101.06,2378.0,4629.0,5.29,10.29,-5.0,21562.0,20941.0,1.38,-3.62,209.49,23.0,2338.0,933.0,45.0,5.2,2.07,223.0,3.7,215.0,32.24,62.2,5.55,43.32,28.61,28.07,71445822.0,6729.0,6925.0,6722.0,8310.0,1539.31,97.04,1847.17,1466.66,3265.61,1960.82,8366.0,12.0,5081.0,168384.0,78.55,5320.0,2237.0,42.64
新竹縣,1427.54,215177.0,580503.0,91302.0,410033.0,79168.0,15.73,70.63,13.64,41.57,86.71,295891.0,284612.0,103.96,4101.0,4582.0,7.09,7.93,-0.83,26958.0,21554.0,9.35,8.52,406.65,28.0,3437.0,1356.0,62.0,5.95,2.35,290.0,3.7,280.0,53.52,43.88,2.6,55.51,35.2,9.29,281503419.0,7812.0,8162.0,6064.0,6711.0,1412.01,74.26,1160.99,841.05,1674.88,1338.48,11124.0,13.0,4241.0,104211.0,73.0,5315.0,9262.0,179.06
苗栗縣,1820.31,197025.0,535132.0,62217.0,375010.0,97905.0,11.63,70.08,18.3,42.7,157.36,275550.0,259582.0,106.15,2293.0,5984.0,4.27,11.15,-6.88,19439.0,18794.0,1.2,-5.68,293.98,19.0,2781.0,1206.0,46.0,5.18,2.25,277.0,3.6,267.0,47.86,46.76,5.38,46.57,38.96,14.47,135334517.0,7888.0,7206.0,6246.0,6611.0,1342.76,86.64,1231.89,841.72,1712.88,1360.45,7748.0,18.0,5851.0,125946.0,69.19,4213.0,6264.0,152.4
